Year,Month,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,Day,Casino,EGM,Keno,Lottery,Wagering,btc_per_month
2011,8,10.9878970235,7063246.77419355,77568726.155929,384315.859235484,334.3870967742,0.0238955042,0,53.0967741935,0,12.9762602483,1847683.01529871,78107.6623785645,7.901122471,11.1058192536,10.2267011592,17820.8064516129,7634.0322580645,1300930.67741936,7634.0322580645,6917.5161290323,560580.470718387,105046,1088316.35483871,16,46916699.75,178819616.8,10143472.76,35970916.19,31447106.56,232977.419354839
2011,9,6.4407613333,7277521.66666667,46807516.4721367,294388.048893333,416.9666666667,0.0213813435,0,45.5666666667,0,12.1338602293,1760703.896005,44801.8812496234,5.4064248707,9.9188167118,6.8644739361,14011.8,6493.9333333333,1516802.03333333,6493.9333333333,5826.1333333333,586552.304026433,95622.4333333333,640886.733333333,15.5,46140529.2,166137468.53,9887629.39,35230670.01,33024583.47,214274.892473118
2011,9,3.8990551613,7476114.51612903,29112261.4858226,188740.501325807,480.064516129,0.0192649119,0,44.935483871,0,9.451903643,1568064.64281097,23791.3296181032,3.8509737119,7.2585797174,4.3424199228,10600.4838709677,5446.8387096774,1697064.70967742,5446.8387096774,5020.7096774194,382729.905655258,91202.3225806452,346051.225806452,16,52579107.7,165916889.4,7608935,36875825.29,37855490.35,198592.849462366
2011,10,2.826189,7673178.33333333,21669829.5632333,173577.49167,537.9333333333,0.0175217605,0,39.8,0,8.1465470646,1194221.630024,19503.40134,3.2951511313,3.7728575645,3.4627016978,10044.3333333333,5620.9666666667,1865296.53333333,5089.3,5416.9666666667,1613777.9545915,892744.166666667,2343933.23333333,15.5,65267906.9,156492177.83,10050445.53,32708396.4,40447286.55,197063.8172043
2011,12,3.6006477419,7889682.25806452,28440614.5698387,218207.498048387,600.935483871,0.0168561088,0,37.2580645161,13.1938172043,8.3289868958,1130928.13942387,26775.3763180645,16.3062841871,4.6074699811,4.8602762696,9310.7419354839,5583.1612903226,2037780.90322581,4104.7419354839,5286.9032258065,1571318.84626581,1092328.16129032,3418320.51612903,16,47389625.27,166688889.91,10353671.63,47265239.32,34738666.9,216503.924731183
2012,1,6.4277425803,8123441.93548387,52209453.6360516,638128.119854839,674.7419354839,0.0205698887,0,43.3548387097,13.1037634409,9.4702381494,1245695.81271839,49353.741129871,18.3606046513,7.2157685883,7.7295871019,10688,6420.1612903226,2219386.58064516,4651.8709677419,6006.6129032258,374118.874917516,116870.419354839,754511.258064516,16,58638881.34,153500820.05,7348215.21,32034406.36,31669836.22,233759.677419355
2012,2,5.3136413793,8348168.96551724,44331884.7273448,501698.6564,755.724137931,0.0219072801,0,48.3793103448,12.1344827586,10.2329310594,1370938.67643931,39875.6677341379,5.5216782838,6.0468099376,5.6276635694,11978.9310344828,7195.0344827586,2426885.48275862,5509.0344827586,6289.2068965517,545669.942398586,146585.896551724,773757.931034483,15,43152927.41,145436198.33,8761819.99,34215479.91,28208247.83,224727.03003337
2012,3,5.0129948387,8573272.58064516,42973634.8657258,287994.203396774,837.3548387097,0.0207662021,0,43.8387096774,9.3612903226,11.2494828222,1506177.08899871,37671.3606596774,4.9959359165,6.420320532,5.7701717458,11700.5161290323,6566.8064516129,2630471.4516129,4989.2580645161,5945.1290322581,588642.751462129,123490.903225806,618480.290322581,16,49188727.04,161431839.02,9791276.52,35648173.7,35109417.25,225103.615127919
2012,4,5.0528883333,8793916.66666667,44439738.0631,300440.034576667,919.6333333333,0.0250204301,0,57.0666666667,9.9952777778,11.0598635621,1590437.102578,35415.1218843333,5.5081734403,4.6406829381,4.7926358177,12796.4,7483.0666666667,2841558.23333333,5759.9,6374.9,1093199.84492003,164924.233333333,833459.766666667,15.5,44414915.32,150915050.88,5742630.31,34720791.49,31565613.68,220644.086021505
2012,5,5.1216009677,9017529.03225807,46185646.6578387,229999.761870968,1086.8387096774,0.0684834901,0,175.9677419355,11.6427419355,11.6262305593,1643147.17196871,36704.8128887097,15.0021702661,4.127470485,2.0268302874,20861.7419354839,21193.0322580645,3243179.64516129,6169.935483871,8386.1612903226,2326170.43265245,181595.225806452,930027.387096774,16,47629980.17,161214328.87,9569455.4,55751702.77,31412491.1,223612.365591399
